ARNT	ATF3	ATF7	BHLHE40	BRCA1	CDC5L	FOXA1	IKZF1	KLF16	MAFK	MGA	MNT	NFIC	NRF1	PKNOX1	REST	STAT5A	TAL1	TCF12	TEAD4	THRA
PRR9	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	2	0	2	0	2	0
LOR	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	2	0	2	0
PGLYRP4	1	1	1	1	0	1	0	2	1	1	1	1	2	6	3	2	1	2	2	3	0
S100A9	1	1	1	1	0	1	0	2	2	1	2	2	2	6	3	4	1	2	2	4	0
S100A12	1	2	2	1	0	1	0	2	2	1	2	2	2	7	3	5	1	2	2	4	0
S100A8	1	3	3	2	0	0	0	2	3	0	2	2	4	1	2	6	1	3	1	2	0
S100A7	1	4	3	3	0	0	0	2	5	0	1	1	4	1	3	6	1	3	1	1	0
S100A6	1	4	5	8	0	0	0	7	6	2	3	2	5	4	8	9	0	2	2	3	0
S100A5	1	4	5	8	0	0	0	7	6	2	3	2	5	4	8	9	0	2	2	3	0
S100A4	1	4	5	8	0	0	0	7	4	2	3	2	5	4	7	8	0	2	2	3	0
S100A3	1	5	5	8	0	0	0	7	4	2	3	2	6	4	7	8	0	2	2	3	0
S100A2	1	7	4	7	0	0	0	9	2	2	3	0	6	5	7	7	0	2	2	4	0
S100A16	1	6	9	5	0	0	0	8	2	2	5	5	9	7	6	8	0	1	2	5	0
S100A14	1	6	9	5	0	0	0	8	2	2	5	5	9	7	6	8	0	1	2	5	0
S100A1	1	4	7	4	0	1	0	7	0	1	5	7	10	6	5	5	0	0	1	4	0
CHTOP	1	5	8	4	0	1	0	8	0	1	5	7	10	6	5	5	0	0	1	4	0
S100A13	1	6	8	4	0	1	0	8	0	1	5	7	10	6	5	5	0	0	1	4	0
SNAPIN	1	8	9	5	0	1	0	10	1	2	7	8	11	8	10	5	0	0	2	5	0
ILF2	1	6	9	3	0	1	0	8	1	2	5	8	10	7	9	3	0	0	2	4	0
NPR1	1	6	9	3	0	1	0	7	1	2	5	7	9	8	9	2	0	0	2	4	0
INTS3	0	6	3	2	0	0	0	4	2	1	4	2	4	9	6	3	0	1	2	2	0
SLC27A3	0	3	4	1	0	0	0	3	3	0	3	1	7	9	5	5	1	2	2	4	0
GATAD2B	1	1	9	5	0	0	0	13	1	0	5	6	8	9	8	7	1	3	1	5	2
DENND4B	3	4	15	5	0	3	0	23	1	1	6	8	11	12	10	7	0	2	1	6	2
CRTC2	3	4	15	5	0	3	0	23	1	1	6	8	11	12	9	7	0	2	1	6	2
CREB3L4	3	5	15	5	0	3	0	23	1	1	6	8	11	12	9	7	0	2	1	6	2
SLC39A1	3	5	15	5	0	3	0	23	1	1	6	8	11	12	9	7	0	2	1	6	2
JTB	3	6	13	5	0	3	0	21	0	1	5	8	11	11	7	3	0	2	1	5	2
RAB13	3	6	13	5	0	3	0	21	0	1	5	8	11	11	7	3	0	2	1	5	2
RPS27	3	6	13	5	0	3	0	21	0	1	5	8	10	11	7	3	0	2	1	5	2
TPM3	3	3	6	2	0	1	1	9	3	3	6	3	10	6	8	3	2	2	3	5	0
UBAP2L	2	2	5	1	0	1	1	5	2	1	4	3	8	5	7	3	1	1	3	3	0
C1orf43	2	2	5	1	0	1	1	5	2	1	4	3	8	5	7	3	1	1	3	3	0
HAX1	4	4	6	3	0	1	0	4	4	1	1	3	5	3	2	2	1	4	4	4	0
AQP10	6	5	7	6	0	2	0	12	8	1	2	4	9	8	5	7	3	8	7	9	0
ATP8B2	6	4	5	5	0	2	0	11	6	1	2	3	9	7	4	6	3	9	8	8	0
IL6R	2	7	2	2	0	0	0	4	0	1	2	3	5	7	2	1	1	4	3	3	0
SHE	1	7	0	1	0	0	0	4	2	4	2	0	5	0	5	4	1	3	4	3	0
TDRD10	1	7	0	1	0	0	0	4	2	4	2	0	5	0	5	4	1	3	4	3	0
UBE2Q1	0	3	2	2	0	1	0	4	2	1	2	2	5	4	4	4	0	2	2	2	0
CHRNB2	0	5	3	2	0	1	0	4	2	2	2	2	5	4	4	4	0	3	2	2	0
ADAR	2	8	5	3	0	1	0	4	4	3	4	1	3	4	1	3	1	4	3	3	0
PMVK	4	4	8	5	0	0	0	15	2	2	5	7	11	10	12	9	0	2	4	5	0
PBXIP1	8	6	11	10	0	0	0	21	3	5	7	15	15	14	15	12	0	3	6	7	1
PYGO2	8	6	11	10	0	0	0	22	3	5	7	15	15	14	15	12	0	3	6	7	1
SHC1	8	7	12	11	0	0	0	24	4	5	7	17	17	15	16	12	0	3	6	8	1
CKS1B	8	7	12	11	0	0	0	24	4	5	7	17	17	15	16	12	0	3	6	8	1
LENEP	7	8	11	10	0	0	0	21	3	4	6	15	14	13	14	11	0	3	6	6	1
ZBTB7B	7	9	13	11	0	0	0	23	3	4	10	16	16	16	14	12	0	3	6	7	1
ADAM15	4	4	12	14	0	1	0	16	6	2	7	11	18	18	8	14	0	3	4	5	1
EFNA4	2	4	11	11	0	1	0	11	6	2	7	5	17	14	5	13	0	2	2	5	0
EFNA3	2	1	10	12	0	1	0	10	5	2	10	5	15	17	5	12	0	3	2	4	0
EFNA1	4	4	8	11	0	3	0	12	6	2	11	7	13	14	6	8	0	4	1	3	0
SLC50A1	3	4	6	8	0	2	0	7	4	2	11	7	10	10	4	5	0	3	1	3	0
DPM3	2	4	5	7	0	2	0	7	3	2	9	6	9	9	3	5	0	3	1	3	0
KRTCAP2	4	6	8	9	0	2	0	11	4	3	10	8	9	14	6	6	2	2	1	5	0
TRIM46	4	6	8	9	0	2	0	11	4	3	10	8	9	14	6	6	2	2	1	5	0
MUC1	6	6	10	9	0	2	0	10	2	2	7	7	6	9	8	9	2	1	1	3	0
THBS3	6	5	13	10	0	3	0	13	3	2	7	7	6	12	8	11	3	2	2	5	0
MTX1	6	5	13	10	0	3	0	13	3	2	7	7	6	12	8	11	3	2	2	5	0
GBA	6	3	14	9	0	2	0	14	1	2	8	11	5	13	11	12	2	2	3	6	0
FAM189B	6	4	13	9	0	2	0	15	1	2	8	10	6	12	11	13	2	3	5	6	0
SCAMP3	5	4	15	10	0	3	0	17	1	1	8	10	6	11	10	14	2	3	6	9	0
CLK2	5	3	17	10	0	3	0	18	2	1	8	11	6	13	9	13	2	3	6	8	0
HCN3	5	2	16	7	0	3	0	20	2	0	5	13	7	15	9	14	1	3	6	7	0
PKLR	1	2	12	4	0	1	0	15	1	0	3	10	6	12	5	11	0	1	4	5	0
FDPS	1	2	11	4	0	1	0	13	1	0	3	10	6	10	5	10	0	1	4	5	0
RUSC1	1	2	10	3	0	1	0	11	1	0	3	9	6	9	5	9	0	1	4	4	0
ASH1L	2	3	4	1	0	2	0	7	1	2	1	4	4	4	5	3	2	1	1	2	0
YY1AP1	1	4	6	1	0	1	0	7	2	2	2	4	5	3	2	3	0	4	3	2	0
DAP3	1	4	6	1	0	1	0	7	2	2	2	4	5	3	2	3	0	4	3	2	0
GON4L	1	5	8	0	0	0	0	7	2	0	3	5	9	5	3	3	2	2	3	2	0
SYT11	1	5	8	0	0	0	0	7	2	0	3	5	9	5	3	3	2	2	3	2	0
RIT1	2	5	3	0	0	0	0	7	2	2	0	5	5	4	5	4	2	1	2	7	0
KIAA0907	2	4	6	3	0	0	0	15	2	3	0	8	8	11	10	5	2	2	3	10	0
ARHGEF2	1	2	6	3	0	0	0	10	2	4	1	6	7	9	11	5	0	1	2	9	0
SSR2	1	4	6	2	0	0	0	12	3	3	3	5	6	9	9	4	0	1	1	5	0
UBQLN4	1	3	5	1	0	0	0	10	4	1	2	5	5	5	6	5	0	0	0	1	0
LAMTOR2	1	3	5	1	0	0	0	9	4	1	2	5	6	5	6	5	0	0	0	1	0
RAB25	3	3	5	3	0	0	0	11	4	1	3	6	6	6	6	5	0	1	1	2	0
MEX3A	4	11	10	5	0	1	0	19	5	4	3	10	14	14	8	6	0	1	2	4	0
LMNA	4	11	10	5	0	1	0	19	5	4	3	10	14	14	8	6	0	1	2	4	0
SEMA4A	6	9	10	6	0	1	0	20	2	6	6	9	12	12	9	5	1	2	3	6	0
SLC25A44	3	4	6	3	0	1	0	13	1	4	6	6	4	5	8	3	1	2	2	6	0
PMF1	1	4	6	2	0	1	0	10	1	3	6	7	4	4	7	2	1	3	3	5	0
PMF1-BGLAP	1	4	6	2	0	1	0	10	1	3	6	7	4	4	7	2	1	3	3	5	0
BGLAP	3	3	7	3	0	2	0	11	2	2	4	9	6	6	8	2	1	2	2	5	0
PAQR6	2	3	5	4	0	2	0	7	2	2	3	6	5	5	6	2	0	2	2	4	0
TMEM79	2	2	3	3	0	1	0	2	2	0	2	4	3	3	2	1	0	2	2	1	0
SMG5	4	1	4	3	0	1	0	5	2	1	2	6	4	4	3	1	0	1	1	2	0
TSACC	2	2	2	2	0	0	0	5	1	1	1	2	4	3	1	4	0	0	0	1	0
CCT3	2	2	2	2	0	0	0	5	1	1	1	2	4	3	1	4	0	0	0	1	0
RHBG	2	2	3	2	0	0	0	7	1	2	2	2	6	2	2	4	0	0	1	1	0
C1orf61	0	4	5	6	0	0	0	13	4	1	6	1	5	3	7	9	1	1	2	2	0
MEF2D	1	6	4	10	0	1	0	14	1	1	6	4	9	6	9	8	2	3	5	6	0
IQGAP3	2	6	9	6	0	0	1	6	2	0	2	4	7	3	5	4	1	3	3	6	0
GPATCH4	2	6	10	4	0	0	1	9	2	0	4	4	7	5	5	7	0	2	3	5	0
HAPLN2	4	10	13	7	0	2	1	14	3	2	5	6	10	7	7	11	2	2	5	6	0
BCAN	6	7	12	8	0	2	1	17	3	2	5	5	10	6	5	13	2	2	5	6	0
NES	7	7	9	6	0	3	0	19	3	4	2	3	7	7	8	12	2	1	4	3	0
CRABP2	9	7	14	9	0	5	0	22	3	5	4	9	14	13	11	12	2	3	5	9	0
ISG20L2	6	2	12	6	0	3	0	16	1	6	3	9	13	13	13	8	1	5	5	8	0
RRNAD1	6	2	12	6	0	3	0	16	1	6	3	9	13	13	13	8	1	5	5	8	0
MRPL24	5	2	10	5	0	3	0	15	1	6	3	9	12	12	13	6	1	5	5	9	0
HDGF	4	2	9	5	0	3	0	12	1	5	3	9	10	11	10	7	1	5	5	10	0
PRCC	4	1	11	5	0	2	0	15	1	7	5	11	10	10	11	6	1	5	5	12	0
NTRK1	1	1	5	6	0	1	0	14	3	4	3	4	5	9	10	6	1	4	3	7	0
SH2D2A	1	1	5	6	0	1	0	14	3	4	3	4	5	9	10	6	1	4	3	7	0
INSRR	2	1	9	8	0	1	0	16	5	1	6	2	8	9	6	7	1	4	3	7	0
PEAR1	2	5	12	9	0	1	0	14	5	0	11	1	15	10	9	8	2	4	5	8	0
ETV3L	0	3	3	2	0	0	0	4	0	2	2	1	3	2	2	2	0	0	0	0	0
ETV3	0	3	2	2	0	0	0	6	1	3	0	2	4	3	2	4	0	0	0	1	0
FCRL5	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	1	0
FCRL4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
FCRL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIRREL	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0
CD1A	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0
CD1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1E	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
SPTA1	1	3	0	0	0	0	0	2	1	2	0	0	5	0	2	1	2	4	6	3	0
MNDA	1	3	0	0	0	0	0	1	1	2	1	1	2	0	2	2	1	2	3	2	0
PYHIN1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0
IFI16	0	5	2	1	0	0	0	1	0	0	3	1	1	0	1	1	0	1	0	1	0
AIM2	2	4	2	1	0	0	0	3	4	1	1	1	0	1	1	2	1	2	2	2	0
CADM3	1	2	0	0	0	0	0	4	4	1	2	0	0	0	1	6	0	2	1	2	0
DUSP23	1	3	3	3	0	0	1	4	2	1	3	3	0	6	3	4	1	0	0	1	0
SLAMF8	1	3	3	4	0	0	1	4	2	2	3	4	0	7	3	7	1	1	2	2	0
VSIG8	0	5	3	5	0	0	1	3	0	3	3	2	2	5	2	5	1	2	2	3	0
TAGLN2	2	9	11	7	0	2	0	9	4	2	7	4	9	9	5	7	1	3	4	5	1
IGSF9	2	6	9	5	0	2	0	7	4	1	5	4	7	9	5	6	1	2	4	5	1
SLAMF9	2	6	9	5	0	2	0	7	4	2	5	4	7	9	5	6	1	2	4	4	1
PIGM	1	2	3	2	0	0	0	2	3	2	1	1	4	3	4	5	1	1	1	2	0
KCNJ9	1	5	6	3	0	0	0	2	4	0	9	3	5	7	6	4	1	1	1	5	0
IGSF8	0	5	3	1	0	0	0	0	3	0	8	2	3	4	4	2	0	0	0	3	0
ATP1A2	0	4	3	1	0	0	0	0	3	0	8	2	3	4	3	3	0	0	0	3	0
ATP1A4	1	4	2	0	0	2	0	0	1	0	5	1	3	1	1	2	0	0	0	2	0
CASQ1	1	1	2	0	0	2	0	0	1	0	0	0	3	0	0	2	0	0	0	1	0
PEA15	1	2	2	0	0	2	0	0	1	0	0	0	3	0	0	3	0	0	0	1	0
DCAF8	0	4	1	1	0	1	0	3	1	0	0	3	4	1	0	2	0	0	0	5	0
PEX19	0	4	1	1	0	1	0	3	1	1	0	3	3	1	0	2	0	0	0	5	0
NCSTN	1	6	6	0	0	0	0	6	1	1	2	1	0	2	5	4	0	1	0	0	1
COPA	1	6	6	0	0	0	0	6	1	1	2	1	0	2	5	4	0	1	0	0	1
NHLH1	1	6	6	0	0	0	0	11	1	2	2	1	0	2	6	6	0	2	1	0	1
VANGL2	1	6	5	1	0	0	0	12	1	1	4	0	2	3	8	7	0	3	2	3	1
SLAMF6	3	5	3	2	0	0	0	6	1	3	7	0	5	1	3	4	1	4	3	6	0
CD84	4	7	2	2	0	0	0	7	2	5	8	1	4	1	4	5	1	3	3	5	0
SLAMF1	1	2	1	1	0	0	0	6	3	3	4	0	4	1	5	5	1	4	4	4	0
CD48	1	0	2	1	0	1	0	4	2	4	2	0	3	2	3	4	1	3	2	4	0
SLAMF7	0	0	1	1	0	1	0	2	2	3	1	0	1	1	1	4	0	2	1	2	0
LY9	0	2	0	0	0	0	0	0	2	3	0	0	1	0	1	5	0	1	3	1	0
CD244	0	2	0	1	0	0	0	0	1	2	0	0	2	1	1	2	0	3	7	3	0
ITLN1	0	0	0	1	0	0	0	0	1	1	0	0	2	1	0	1	0	3	6	3	0
F11R	3	13	8	5	0	2	0	12	4	2	5	3	9	7	10	7	4	6	6	8	0
TSTD1	3	17	12	5	0	2	0	13	5	2	6	3	8	9	12	9	4	6	6	8	0
USF1	2	14	9	4	0	2	0	10	4	2	6	3	5	7	11	7	3	4	4	7	0
ARHGAP30	4	11	12	4	0	3	0	7	3	1	7	7	4	9	13	8	1	3	2	6	0
KLHDC9	2	12	11	2	0	2	0	5	2	1	5	7	3	8	9	7	0	2	0	3	0
NIT1	5	10	15	4	0	3	0	11	3	1	7	10	7	13	10	8	1	4	4	9	0
PFDN2	5	10	15	4	0	3	0	11	3	1	7	10	7	13	10	8	1	4	4	9	0
DEDD	6	12	15	5	0	3	0	12	3	1	8	12	8	15	9	8	1	4	4	9	0
UFC1	5	9	14	5	0	2	0	18	3	2	8	12	11	16	9	6	1	3	4	10	0
USP21	5	9	14	5	0	2	0	18	3	2	8	12	11	16	9	6	1	3	4	10	0
PPOX	5	7	14	6	0	2	0	18	5	2	8	12	11	16	8	7	1	3	4	10	0
B4GALT3	4	7	14	5	0	2	0	18	6	1	6	9	11	14	8	9	1	3	4	9	0
ADAMTS4	4	6	13	4	0	1	0	17	6	1	5	7	11	12	6	7	1	2	4	8	0
NDUFS2	4	6	13	4	0	1	0	17	6	1	5	7	11	12	6	7	1	2	4	8	0
FCER1G	3	6	11	3	0	0	0	13	6	1	4	5	8	8	6	8	1	1	1	3	0
APOA2	1	6	9	2	0	0	0	11	5	1	2	4	6	7	5	7	0	0	0	2	0
TOMM40L	1	6	9	2	0	0	0	11	5	1	2	4	6	7	5	7	0	0	0	2	0
PCP4L1	0	4	8	1	0	1	0	5	3	2	2	1	2	3	4	6	0	0	0	1	0
SDHC	1	2	5	1	0	3	0	5	0	2	4	1	2	3	4	2	0	2	1	1	0
FCGR2A	7	8	11	3	0	1	0	13	2	1	12	5	11	6	13	3	1	5	4	8	0
HSPA6	9	9	13	3	0	1	0	14	2	1	12	5	12	6	16	4	1	5	5	8	0
FCRLA	1	10	7	4	0	0	0	8	4	2	6	3	6	5	7	4	0	3	3	7	0
DUSP12	2	12	10	4	0	1	0	9	5	3	7	6	6	6	8	6	0	3	3	8	0
ATF6	2	8	7	3	0	1	0	8	4	3	6	6	3	4	6	6	0	3	2	7	0
OLFML2B	0	1	1	1	0	0	0	0	1	2	1	1	0	1	0	2	0	0	0	0	0
NOS1AP	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0
C1orf226	4	10	4	2	0	0	0	11	6	2	7	0	6	1	2	5	7	8	7	11	0
SH2D1B	4	8	3	2	0	0	0	8	6	2	7	0	6	1	2	3	7	9	7	10	0
UHMK1	1	2	1	0	0	0	0	1	1	1	0	1	3	1	2	2	1	2	1	1	0
UAP1	0	3	2	2	0	1	0	4	0	2	7	2	4	1	3	0	1	2	1	2	0
DDR2	0	3	0	1	0	0	0	2	0	4	2	0	1	1	1	3	0	1	2	2	0
RGS4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS5	1	3	3	1	0	0	0	1	1	2	2	2	1	2	2	1	1	1	1	2	0
NUF2	1	3	3	1	0	0	0	1	1	2	2	2	1	2	2	1	1	1	1	2	0
PBX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LMX1A	0	0	1	1	0	0	0	0	2	0	0	0	2	4	3	4	0	0	1	1	0
RXRG	0	4	1	0	0	0	0	2	0	1	0	0	0	0	1	2	0	0	0	1	0
LRRC52	0	1	0	0	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0
MGST3	2	2	4	5	0	1	0	4	3	4	5	2	7	5	3	3	0	3	1	4	1
ALDH9A1	2	3	2	0	0	0	0	2	3	3	2	1	1	1	1	2	0	0	1	1	0
TMCO1	1	5	3	4	0	0	0	5	1	3	3	3	5	2	2	2	1	4	3	7	0
UCK2	4	8	5	6	0	0	0	10	2	5	6	4	3	2	9	3	2	4	5	5	0
FAM78B	0	1	0	1	0	0	0	0	1	1	0	1	3	0	1	3	0	0	0	0	0
POGK	0	2	2	2	0	0	0	3	1	0	3	1	5	5	3	4	1	2	1	2	0
TADA1	0	3	3	2	0	0	0	3	1	1	4	1	6	5	4	6	1	3	2	2	0
ILDR2	0	2	0	1	0	0	0	0	0	1	2	0	2	1	2	2	0	1	0	0	0
MAEL	0	2	0	1	0	0	0	0	0	1	2	0	2	1	2	2	0	1	0	0	0
GPA33	0	3	2	2	0	1	0	1	3	1	2	0	4	4	3	4	0	0	1	2	0
DUSP27	0	2	1	2	0	1	0	1	3	1	1	0	3	2	3	4	0	0	1	2	0
POU2F1	2	4	7	0	0	0	0	7	0	3	5	3	3	4	10	3	2	3	3	6	0
CD247	2	11	10	3	0	0	1	8	4	2	5	3	5	6	8	7	0	3	2	6	0
CREG1	2	13	13	3	0	0	1	10	4	2	7	3	6	7	8	9	0	3	2	7	0
RCSD1	4	6	6	4	0	1	1	16	4	2	14	1	7	4	9	7	3	5	4	10	0
MPZL1	8	6	9	4	0	2	1	17	0	2	8	4	11	5	7	5	1	7	8	8	0
DCAF6	3	6	11	2	0	2	0	7	1	3	5	10	4	9	6	3	1	5	2	7	1
MPC2	3	6	11	2	0	2	0	7	1	3	5	10	4	9	6	3	1	5	2	7	1
GPR161	1	5	5	5	0	0	0	8	1	1	4	3	3	6	3	4	1	1	2	4	0
TIPRL	3	7	7	7	0	1	0	8	1	2	9	6	2	8	6	5	1	1	1	7	0
SFT2D2	3	4	3	5	0	1	0	3	0	2	8	5	2	5	4	4	0	0	1	5	0
TBX19	1	8	5	2	0	0	1	3	2	2	1	0	6	1	3	3	3	4	5	4	0
XCL2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
XCL1	0	3	1	1	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0
DPT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATP1B1	0	3	1	0	0	0	0	2	0	0	0	0	2	4	0	1	0	0	1	0	0
BLZF1	2	6	1	1	0	0	0	2	0	1	4	2	1	1	6	1	2	3	5	3	0
NME7	2	6	1	1	0	0	0	2	0	1	4	2	1	1	6	1	2	3	5	3	0
CCDC181	3	6	4	3	0	0	0	2	1	0	5	2	3	3	4	3	1	2	3	5	0
SLC19A2	3	7	5	3	0	0	0	3	1	0	5	2	4	1	4	3	1	2	2	6	0
F5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0
SELP	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0
SELL	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
SELE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
C1orf112	1	2	2	1	0	0	0	1	0	0	2	2	0	2	0	1	0	0	0	1	0
METTL18	1	2	2	1	0	0	0	1	0	0	2	2	0	2	0	1	0	0	0	1	0
SCYL3	2	1	1	0	0	0	0	2	0	1	2	1	1	2	1	1	0	0	0	0	0
KIFAP3	0	2	2	0	0	0	0	2	3	1	2	0	5	2	2	2	1	2	2	2	0
GORAB	0	3	2	0	0	1	0	2	0	0	0	1	2	1	1	0	0	1	0	1	0
PRRX1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
FMO4	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0
PRRC2C	1	2	2	1	0	1	0	2	1	1	1	1	4	1	1	1	2	1	0	1	0
MYOC	0	0	1	0	0	0	0	2	1	2	4	0	2	1	2	3	0	3	2	2	0
VAMP4	2	3	4	6	0	1	0	6	1	2	3	4	3	4	6	3	1	2	2	4	0
METTL13	2	5	4	6	0	1	0	6	1	3	3	4	4	4	6	3	1	3	2	4	0
DNM3	0	2	0	0	0	0	0	1	0	1	1	0	3	1	0	0	0	1	0	0	0
PIGC	0	1	4	3	0	0	0	6	6	2	4	0	5	5	6	4	4	5	5	6	0
SUCO	1	4	5	4	0	1	0	4	0	4	1	2	4	3	5	1	2	1	1	3	0
FASLG	0	1	1	4	0	0	0	3	0	2	2	0	5	2	1	2	0	0	4	1	0
TNFSF18	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TNFSF4	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0
PRDX6	3	3	0	5	0	0	0	6	4	4	10	6	6	4	4	7	2	3	4	3	0
SLC9C2	0	3	1	1	0	0	0	4	0	3	3	0	1	2	3	2	0	0	1	2	0
ANKRD45	2	4	4	3	0	0	0	9	3	1	4	4	2	1	4	2	1	3	4	2	0
KLHL20	2	1	4	3	0	0	0	8	3	0	4	4	3	1	4	1	1	3	4	2	0
CENPL	5	2	6	2	0	2	1	5	1	2	4	9	11	5	3	3	1	3	0	3	0
DARS2	5	2	6	2	0	2	1	5	1	2	4	9	11	5	3	3	1	3	0	3	0
ZBTB37	5	4	7	2	0	2	1	7	1	2	4	9	11	5	3	6	1	3	0	4	0
SERPINC1	1	4	4	1	0	1	1	5	1	2	2	4	5	4	4	5	0	1	0	2	0
RC3H1	0	5	2	0	0	0	0	2	1	2	2	1	3	2	3	1	0	0	0	3	0
RABGAP1L	3	4	3	4	0	1	0	3	3	2	9	5	7	2	3	2	2	5	7	5	0
GPR52	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	1	0	0
CACYBP	1	8	6	4	0	3	1	5	2	6	2	9	7	7	9	4	1	3	1	5	0
MRPS14	1	8	6	4	0	3	1	4	1	3	3	9	4	4	6	4	0	2	0	4	0
KIAA0040	0	1	1	1	0	0	0	5	2	1	4	1	1	0	3	3	1	1	1	2	0
TNR	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	4	1	1	1	1	0
RFWD2	1	4	3	2	0	0	0	3	0	1	1	1	3	1	4	0	0	0	1	2	0
ASTN1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
SEC16B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
RASAL2	0	0	1	2	0	0	0	1	0	0	1	1	1	3	1	1	0	0	0	0	0
RALGPS2	0	2	2	0	0	0	0	1	1	0	1	0	2	3	1	1	0	2	0	0	0
ANGPTL1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM20B	8	8	7	6	0	4	0	15	4	4	6	6	10	6	12	5	3	10	8	10	0
TOR3A	3	8	6	4	0	2	0	7	3	2	9	4	4	3	11	5	1	5	4	6	0
ABL2	0	6	3	1	0	0	0	5	1	1	1	1	3	1	7	2	1	1	4	2	0
SOAT1	0	3	2	2	0	0	0	3	1	1	1	2	3	2	3	4	0	2	3	3	0
AXDND1	1	0	1	0	0	0	0	2	0	0	4	1	4	1	0	2	0	2	0	0	0
FAM163A	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
TOR1AIP2	1	5	5	3	0	0	0	5	0	2	3	4	2	3	6	2	1	0	0	5	0
TOR1AIP1	1	5	6	3	0	0	0	5	0	2	3	4	2	3	6	1	1	0	0	5	0
CEP350	2	6	6	1	0	0	0	2	1	0	2	2	4	2	3	2	1	1	1	2	0
QSOX1	2	5	5	6	0	0	0	6	3	1	7	0	4	2	4	7	2	5	3	4	0
LHX4	1	2	0	4	0	0	0	2	2	1	4	0	3	2	0	5	1	0	1	2	0
ACBD6	1	4	3	4	0	0	0	5	1	3	3	1	5	1	10	4	1	2	1	3	0
XPR1	3	5	6	0	0	0	0	11	6	2	5	4	8	8	11	5	6	7	5	6	0
STX6	1	5	2	7	0	0	0	5	2	2	3	3	2	5	3	3	0	0	0	2	0
MR1	1	5	2	8	0	0	0	5	2	2	3	3	2	5	4	3	0	0	0	2	0
IER5	3	12	14	11	0	1	1	14	5	3	7	3	10	10	10	6	4	5	7	6	0
CACNA1E	0	2	1	2	0	0	0	0	0	0	1	0	0	1	1	2	0	1	0	1	0
GLUL	1	6	3	1	0	2	0	10	2	1	3	1	6	2	5	5	0	1	1	4	0
RNASEL	0	8	5	2	0	0	1	2	1	3	5	1	1	6	2	2	1	0	0	0	0
RGS16	0	8	5	2	0	0	1	2	1	3	5	1	1	6	2	2	1	0	0	0	0
RGS8	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
NPL	4	2	5	2	0	0	0	7	5	2	5	4	4	4	2	4	3	3	2	4	0
DHX9	5	1	6	3	0	0	0	7	5	3	5	5	5	3	2	4	3	4	3	5	0
SHCBP1L	0	1	0	2	0	0	0	0	2	2	0	0	2	2	1	1	1	1	1	2	0
LAMC1	0	2	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0
