CTCF	EP300	GABPA	MAFK	NFE2L2	REST
CWC15	6	0	1	1	1	0
KDM4D	6	0	1	1	1	0
ENDOD1	7	2	0	2	0	0
SESN3	3	0	0	2	0	0
FAM76B	5	0	1	2	1	0
CEP57	5	0	1	2	1	0
MTMR2	4	5	1	3	2	0
MAML2	7	3	1	3	2	0
CCDC82	9	1	1	2	2	0
JRKL	9	1	1	2	2	0
CNTN5	2	0	0	0	1	0
PGR	0	0	0	0	0	0
TRPC6	0	0	0	0	0	0
C11orf70	3	5	1	1	0	2
YAP1	3	7	1	1	0	1
BIRC3	9	4	3	3	0	2
BIRC2	9	4	3	3	0	2
TMEM123	3	0	0	1	0	0
MMP7	4	0	0	1	0	0
MMP8	8	1	0	1	0	0
MMP10	6	1	0	1	0	0
MMP1	6	1	0	1	0	0
MMP3	8	1	0	1	0	0
DCUN1D5	3	0	1	1	0	0
DYNC2H1	4	0	1	1	0	0
PDGFD	1	0	0	0	0	0
CASP12	3	1	0	0	0	0
CASP1	2	4	0	0	0	0
CARD16	2	4	0	0	0	1
CARD17	0	4	0	0	0	1
CARD18	0	4	0	0	0	1
GRIA4	1	0	0	0	1	1
MSANTD4	3	0	1	0	0	1
AASDHPPT	6	0	1	0	0	1
KBTBD3	6	0	1	0	0	1
GUCY1A2	1	0	0	0	0	1
CWF19L2	1	0	0	1	0	0
ALKBH8	4	0	0	0	0	0
ELMOD1	6	0	0	0	0	0
SLC35F2	5	1	0	1	0	1
RAB39A	7	1	0	0	0	2
CUL5	5	0	0	0	0	2
ACAT1	2	0	0	2	0	0
NPAT	2	0	2	3	0	0
ATM	2	0	2	3	0	0
C11orf65	1	1	1	0	0	0
KDELC2	1	1	1	0	0	0
EXPH5	3	2	0	1	0	0
DDX10	5	1	0	1	0	0
C11orf87	0	0	0	0	0	1
ZC3H12C	2	2	0	0	1	1
RDX	2	4	0	3	1	0
FDX1	5	4	0	2	0	0
ARHGAP20	0	0	0	1	0	0
COLCA2	2	0	0	0	0	0
COLCA1	2	0	0	0	0	0
POU2AF1	5	0	0	0	0	0
C11orf88	8	0	1	1	0	0
LAYN	5	0	1	1	0	0
SIK2	4	1	1	1	0	1
PPP2R1B	3	1	0	1	0	0
ALG9	6	0	2	1	0	0
C11orf1	6	0	2	1	0	0
FDXACB1	6	0	2	1	0	0
HSPB2	8	0	2	0	0	0
CRYAB	8	1	2	0	0	0
C11orf52	8	2	2	0	0	0
DIXDC1	9	2	2	0	0	0
DLAT	7	2	3	0	0	1
PIH1D2	7	4	2	1	0	1
C11orf57	7	4	2	1	0	1
TIMM8B	6	4	2	1	0	1
SDHD	6	4	2	1	0	1
IL18	5	5	2	2	1	1
TEX12	5	5	2	2	1	1
BCO2	5	5	1	2	1	1
PTS	6	8	0	5	3	0
TTC12	4	0	0	0	0	0
ANKK1	3	0	0	0	0	1
DRD2	1	0	0	0	0	1
ZW10	5	0	0	0	0	0
USP28	5	0	0	0	0	0
ZBTB16	4	0	0	0	0	2
NNMT	5	4	0	1	1	2
RBM7	4	0	0	0	0	0
C11orf71	4	0	0	0	0	0
REXO2	3	0	0	0	0	0
NXPE2	4	0	0	0	0	0
CADM1	0	0	0	0	0	0
BUD13	7	0	2	0	0	0
SIK3	4	2	1	4	1	0
PAFAH1B2	6	2	3	4	1	0
SIDT2	6	1	3	1	0	0
TAGLN	6	0	3	1	0	0
PCSK7	6	0	5	0	0	0
RNF214	6	0	5	0	0	0
BACE1	3	0	4	0	0	0
CEP164	3	0	4	0	0	0
DSCAML1	6	0	0	0	0	0
FXYD2	6	0	0	0	0	0
FXYD6-FXYD2	8	0	0	0	0	0
FXYD6	8	0	0	0	0	0
TMPRSS13	3	0	0	0	0	0
IL10RA	3	0	0	0	0	0
TMPRSS4	3	0	0	0	0	0
SCN4B	5	0	1	0	0	0
SCN2B	7	1	2	0	0	0
MPZL3	8	1	2	0	0	0
MPZL2	8	1	3	1	0	0
CD3E	5	1	3	1	0	0
CD3D	5	1	4	1	0	1
CD3G	5	1	4	1	0	1
UBE4A	3	1	3	1	0	1
ATP5L	1	0	2	1	0	1
KMT2A	2	0	2	1	0	1
TMEM25	6	0	1	0	0	1
IFT46	9	0	0	0	0	0
ARCN1	9	0	0	0	0	0
PHLDB1	12	0	0	1	0	0
DDX6	2	2	0	0	1	1
CXCR5	11	5	0	0	1	1
BCL9L	10	5	1	0	1	1
UPK2	14	5	2	0	1	0
CCDC84	16	3	5	0	0	0
RPS25	16	2	7	0	0	0
TRAPPC4	16	2	7	0	0	0
SLC37A4	10	0	7	0	0	0
HYOU1	14	0	7	0	0	1
VPS11	14	0	7	0	0	1
HMBS	15	0	7	0	0	1
H2AFX	15	0	7	0	0	1
DPAGT1	17	0	6	0	0	1
C2CD2L	18	0	6	0	0	1
HINFP	17	0	5	0	0	1
ABCG4	15	0	5	0	0	1
NLRX1	12	0	3	0	0	1
CCDC153	12	0	2	0	0	1
CBL	10	0	0	0	0	1
MCAM	12	3	0	2	0	0
RNF26	12	3	0	2	0	0
C1QTNF5	12	3	0	2	0	0
USP2	15	4	0	3	0	0
THY1	10	4	0	3	0	3
TRIM29	13	2	0	0	0	0
OAF	14	2	0	0	0	0
POU2F3	14	0	1	0	1	0
TMEM136	9	0	1	0	1	0
ARHGEF12	6	0	1	0	1	0
GRIK4	4	0	0	0	0	0
TBCEL	6	0	1	1	0	1
SC5D	4	0	0	0	0	0
SORL1	0	0	0	0	0	0
UBASH3B	8	0	1	0	0	0
CRTAM	8	0	0	1	0	0
C11orf63	5	0	0	1	0	1
BSX	4	0	0	1	0	1
HSPA8	6	1	0	0	0	1
CLMP	7	3	0	0	0	0
SCN3B	6	0	2	0	0	2
ZNF202	2	0	2	0	0	1
VWA5A	4	1	0	0	0	0
TBRG1	6	0	1	1	0	0
SIAE	9	0	1	1	0	0
NRGN	12	0	1	0	0	1
VSIG2	10	0	1	0	0	1
ESAM	10	0	1	0	0	1
MSANTD2	13	0	1	0	0	2
ROBO4	9	0	1	0	0	1
HEPACAM	9	0	0	0	0	1
CCDC15	6	0	0	0	0	1
SLC37A2	5	0	2	0	0	0
TMEM218	4	0	2	0	0	0
PKNOX2	6	0	2	0	0	0
FEZ1	7	0	2	0	0	1
EI24	2	0	2	0	0	0
STT3A	2	0	2	0	0	0
CHEK1	2	0	2	0	0	0
PUS3	4	0	2	0	0	1
DDX25	4	0	2	0	0	1
CDON	3	1	0	1	0	0
RPUSD4	6	1	2	0	0	0
FAM118B	6	1	2	0	0	0
FOXRED1	5	3	2	1	1	0
TIRAP	5	3	2	1	1	0
DCPS	4	4	2	1	1	0
ST3GAL4	5	4	2	1	1	0
KIRREL3	2	0	0	0	0	2
ETS1	4	1	0	0	0	0
FLI1	4	0	0	0	0	0
KCNJ1	9	0	1	0	0	0
KCNJ5	9	0	1	0	0	0
TP53AIP1	7	0	0	0	0	0
ARHGAP32	1	1	0	0	0	2
BARX2	3	0	0	4	1	1
TMEM45B	4	4	0	1	0	0
PRDM10	2	1	0	1	0	1
APLP2	4	1	1	1	0	0
ST14	5	1	1	2	0	0
ZBTB44	1	0	0	0	0	1
SNX19	8	0	2	1	0	1
NTM	1	3	1	2	0	1
OPCML	0	0	0	0	0	0
IGSF9B	4	0	0	0	0	2
JAM3	4	0	0	0	0	0
NCAPD3	5	0	0	0	0	0
VPS26B	5	0	0	0	0	0
THYN1	4	0	0	0	0	0
ACAD8	4	0	0	0	0	0
GLB1L2	5	0	0	0	0	1
SLC6A12	3	0	0	0	0	2
SLC6A13	2	0	0	0	0	1
CCDC77	3	3	2	0	1	0
KDM5A	3	3	2	0	1	0
B4GALNT3	4	3	2	0	1	0
NINJ2	5	1	3	5	1	0
WNK1	4	0	1	3	1	1
RAD52	2	0	1	0	0	0
ERC1	2	0	1	0	0	0
FBXL14	6	4	2	3	2	1
ADIPOR2	4	5	2	4	1	2
CACNA2D4	1	0	0	2	0	1
DCP1B	3	0	0	2	0	0
FKBP4	9	1	1	1	1	2
ITFG2	9	1	1	1	1	2
NRIP2	9	1	1	1	1	2
RHNO1	9	1	2	1	1	1
FOXM1	9	1	2	1	1	1
TULP3	7	1	2	1	1	0
TEAD4	7	0	1	0	0	0
TSPAN9	7	0	0	0	0	1
PRMT8	6	0	0	0	0	1
PARP11	4	0	0	1	0	0
CCND2	4	0	1	0	0	0
FGF23	6	0	2	0	0	0
C12orf4	2	1	1	0	0	0
RAD51AP1	2	1	1	0	0	0
DYRK4	2	1	1	0	0	0
AKAP3	2	0	0	0	0	0
NDUFA9	2	0	0	0	0	0
KCNA6	6	0	0	0	0	1
VWF	10	3	1	2	0	1
CD9	7	5	2	1	0	1
PLEKHG6	10	9	4	2	4	0
TNFRSF1A	11	10	4	3	5	0
LTBR	12	10	5	3	5	0
SCNN1A	11	10	5	3	5	0
CD27	7	7	5	6	4	2
TAPBPL	7	6	5	6	2	2
VAMP1	9	6	6	7	4	2
MRPL51	8	3	6	7	4	2
NCAPD2	8	3	6	7	4	2
GAPDH	10	2	6	7	3	2
IFFO1	11	2	6	7	3	2
NOP2	11	2	7	7	3	2
CHD4	13	3	8	6	3	1
LPAR5	14	3	8	4	2	0
ACRBP	13	3	7	4	2	0
ING4	13	3	7	4	2	0
ZNF384	12	5	6	4	0	0
PIANP	12	5	6	4	0	0
COPS7A	9	5	6	3	0	0
MLF2	12	5	7	3	0	0
PTMS	12	5	6	3	0	0
LAG3	13	5	6	3	0	0
CD4	12	5	5	4	0	0
GPR162	13	7	4	5	1	0
CDCA3	17	7	5	6	2	1
USP5	17	7	5	6	2	1
TPI1	17	4	4	7	3	1
SPSB2	17	6	5	7	5	1
LRRC23	16	6	5	6	5	1
ENO2	16	6	5	6	5	1
ATN1	17	6	5	6	5	1
C12orf57	15	6	5	7	5	1
PTPN6	14	6	5	7	5	1
PHB2	14	7	4	7	6	1
EMG1	14	7	4	7	6	1
LPCAT3	12	4	3	5	5	1
C1S	10	5	2	2	4	0
C1R	11	3	1	1	1	0
C1RL	10	3	1	0	1	0
RBP5	10	2	1	0	0	0
CLSTN3	10	2	1	0	0	0
PEX5	10	2	1	0	0	0
CD163L1	3	0	0	2	0	1
GDF3	6	0	0	1	0	1
CLEC4C	4	0	0	1	0	2
NANOG	4	0	0	1	0	2
SLC2A14	8	6	0	1	1	2
SLC2A3	8	7	2	2	1	3
FOXJ2	9	9	3	4	1	4
C3AR1	6	6	3	3	1	3
NECAP1	6	5	3	3	1	3
CLEC4A	4	2	3	2	0	2
CLEC4D	5	0	0	2	0	0
CLEC4E	5	0	0	2	0	0
AICDA	8	2	0	2	0	0
MFAP5	5	2	0	1	0	0
RIMKLB	6	2	0	1	0	0
A2ML1	6	0	1	1	0	0
PHC1	6	0	3	3	0	1
M6PR	6	0	3	2	0	1
KLRG1	6	1	4	2	0	1
A2M	4	4	1	1	0	0
KLRB1	1	0	1	1	0	1
CLEC2D	6	0	1	1	0	1
CLECL1	8	0	1	1	0	1
CD69	7	0	0	0	0	0
KLRF1	7	0	0	0	0	0
CLEC2B	3	0	0	0	0	0
KLRF2	3	0	0	0	0	0
CLEC2A	2	0	0	0	1	0
CLEC12A	2	0	0	0	1	0
CLEC1B	2	0	0	0	1	0
CLEC1A	4	5	0	2	3	0
CLEC7A	3	7	0	2	3	0
TMEM52B	4	7	0	2	3	0
OLR1	4	7	0	2	3	0
GABARAPL1	4	7	0	2	3	0
KLRD1	3	5	1	3	2	1
KLRK1	4	3	1	3	1	1
KLRC4	4	3	1	3	1	1
KLRC2	3	3	1	3	1	1
KLRC1	3	3	1	3	1	1
MAGOHB	3	1	0	1	0	0
STYK1	4	1	2	1	0	1
YBX3	2	0	2	1	0	1
PRR4	2	0	0	1	2	0
ETV6	2	0	1	1	0	1
BCL2L14	6	0	0	1	0	0
LRP6	3	0	1	0	0	1
MANSC1	6	1	1	0	0	1
LOH12CR2	6	1	1	0	0	1
DUSP16	3	1	1	1	0	0
CREBL2	4	2	1	1	0	1
GPR19	7	7	1	3	1	1
CDKN1B	9	8	2	3	1	1
APOLD1	9	10	2	4	1	1
DDX47	11	17	3	6	2	1
GPRC5A	12	12	2	7	1	1
GPRC5D	10	6	1	6	0	3
HEBP1	8	4	0	5	0	2
GSG1	5	8	0	2	0	3
EMP1	9	8	0	2	1	1
ATF7IP	2	0	0	0	0	0
PLBD1	4	0	0	0	0	1
GUCY2C	7	1	2	3	1	2
HIST4H4	6	2	3	3	3	1
H2AFJ	6	2	3	3	3	1
WBP11	6	2	3	3	3	1
C12orf60	6	2	3	3	3	1
ART4	4	2	3	3	3	1
MGP	3	1	1	1	2	0
ARHGDIB	1	0	0	0	0	0
RERG	8	3	0	2	1	1
PTPRO	3	2	0	0	1	1
EPS8	5	0	1	2	0	1
STRAP	6	1	1	2	0	1
DERA	7	1	1	2	0	1
MGST1	1	1	0	0	1	0
LMO3	0	0	0	0	0	0
PIK3C2G	2	0	0	1	0	0
PLEKHA5	1	0	0	0	0	0
AEBP2	0	2	1	3	0	0
PDE3A	2	2	0	4	1	0
PYROXD1	0	0	2	0	1	0
RECQL	0	0	2	0	1	0
GOLT1B	0	0	2	0	1	0
GYS2	2	0	0	0	0	0
LDHB	2	0	0	1	0	0
KCNJ8	2	0	0	2	0	0
CMAS	6	0	1	1	0	2
ST8SIA1	0	0	0	0	0	0
C2CD5	2	0	0	1	0	2
ETNK1	1	0	0	1	0	2
SOX5	1	1	0	0	0	0
BCAT1	1	0	0	1	0	0
C12orf77	1	0	0	1	0	0
LRMP	2	0	0	1	0	0
CASC1	3	1	1	3	1	0
LYRM5	3	1	1	3	1	0
KRAS	2	2	1	3	2	0
RASSF8	5	1	0	2	0	2
BHLHE41	8	0	0	5	0	1
SSPN	6	2	1	4	1	2
ITPR2	7	1	0	0	0	2
ASUN	8	2	1	0	0	1
FGFR1OP2	8	2	1	0	0	1
TM7SF3	6	1	1	1	1	1
MED21	5	1	1	1	1	1
STK38L	2	0	1	4	0	0
ARNTL2	4	0	1	1	0	0
PPFIBP1	3	2	1	0	0	2
MRPS35	5	2	0	0	1	0
KLHL42	5	1	0	0	1	0
PTHLH	1	0	0	1	2	3
CCDC91	2	0	1	1	0	0
FAR2	2	0	0	0	0	1
ERGIC2	2	3	0	2	1	0
IPO8	2	2	2	1	0	0
TSPAN11	7	0	1	0	0	0
DDX11	2	0	2	0	0	0
FAM60A	4	0	0	2	0	0
DENND5B	4	4	1	2	0	1
AMN1	6	7	1	2	3	1
H3F3C	2	5	0	1	3	0
KIAA1551	0	0	0	2	1	0
BICD1	1	1	1	3	0	1
FGD4	2	1	1	1	1	0
DNM1L	4	0	2	1	2	0
YARS2	5	0	2	0	2	0
PKP2	3	1	0	0	0	0
SYT10	1	0	0	1	0	0
ALG10	3	1	1	0	1	0
ALG10B	2	1	1	4	1	0
CPNE8	2	3	1	0	0	1
KIF21A	5	3	1	2	0	0
ABCD2	5	0	0	0	0	0
C12orf40	5	0	0	0	0	0
SLC2A13	4	0	0	2	0	0
LRRK2	1	0	0	3	0	1
CNTN1	1	0	0	0	0	2
GXYLT1	2	0	1	2	0	0
YAF2	4	0	2	2	0	1
ZCRB1	5	0	2	3	0	1
PPHLN1	5	0	2	3	0	1
PRICKLE1	3	0	0	4	0	0
PUS7L	5	1	1	2	0	1
IRAK4	5	1	1	2	0	1
TWF1	5	1	1	2	0	1
TMEM117	6	1	1	2	0	1
NELL2	4	1	1	1	0	0
DBX2	7	0	0	0	0	0
ANO6	11	8	1	3	1	0
ARID2	6	3	3	4	2	3
SCAF11	8	1	1	2	2	0
SLC38A1	3	3	2	1	0	2
SLC38A2	5	15	2	4	2	5
SLC38A4	1	0	0	0	0	1
PCED1B	5	5	3	5	1	1
AMIGO2	5	5	3	5	1	1
RPAP3	17	4	2	1	2	0
ENDOU	20	6	2	1	4	0
RAPGEF3	21	7	2	1	4	0
SLC48A1	22	7	2	1	4	0
HDAC7	19	7	3	1	4	1
VDR	13	5	2	2	3	1
TMEM106C	10	2	2	3	1	1
PFKM	11	1	3	3	0	1
SENP1	11	1	3	3	0	1
ASB8	10	1	3	2	0	1
ZNF641	5	6	2	7	0	0
KANSL2	3	1	1	1	3	2
CCNT1	6	1	3	1	3	2
ADCY6	7	2	4	1	4	2
CACNB3	9	2	4	1	4	2
DDX23	14	1	3	1	2	0
RND1	14	1	4	1	2	0
CCDC65	19	1	3	2	2	0
FKBP11	20	1	3	4	2	0
ARF3	19	0	2	3	0	0
WNT10B	21	0	4	5	1	1
DDN	23	0	4	5	1	1
PRKAG1	24	0	5	5	1	3
RHEBL1	21	0	7	6	3	3
DHH	17	0	7	6	3	3
LMBR1L	15	0	7	5	3	3
TUBA1B	11	0	6	3	3	3
TUBA1A	12	1	7	4	3	3
TUBA1C	8	1	5	4	3	1
PRPH	13	2	3	4	2	3
TROAP	13	2	3	4	2	3
C1QL4	11	2	2	4	2	3
DNAJC22	11	2	2	4	2	3
SPATS2	10	1	0	3	1	2
KCNH3	9	2	1	0	0	1
MCRS1	10	2	2	0	0	1
PRPF40B	11	2	2	0	0	1
FMNL3	12	0	2	2	2	2
TMBIM6	9	0	3	2	3	2
NCKAP5L	7	3	3	6	3	3
BCDIN3D	6	4	3	5	2	2
FAIM2	6	7	4	5	1	1
AQP2	6	8	2	5	0	0
AQP5	7	8	2	5	0	1
AQP6	8	6	2	4	0	1
RACGAP1	15	8	5	5	0	2
ASIC1	15	6	4	5	0	2
SMARCD1	13	4	3	5	0	2
GPD1	13	5	3	5	0	2
COX14	13	5	3	5	0	2
CERS5	13	8	4	6	0	1
LIMA1	5	5	1	2	0	0
LARP4	2	2	1	1	0	1
DIP2B	3	1	1	1	2	1
ATF1	5	3	1	4	0	0
METTL7A	4	0	0	2	0	0
SLC11A2	4	5	2	3	2	3
LETMD1	4	5	2	3	2	3
CSRNP2	4	5	3	2	2	3
TFCP2	4	2	6	0	1	1
POU6F1	4	1	5	0	0	1
DAZAP2	4	1	5	0	1	1
SMAGP	7	1	5	2	1	1
BIN2	11	2	4	3	2	1
SLC4A8	10	1	0	3	2	0
GALNT6	10	1	0	3	2	0
SCN8A	3	0	0	0	0	2
ANKRD33	14	1	1	0	0	0
ACVRL1	17	1	1	0	0	0
ACVR1B	20	7	3	2	1	1
GRASP	18	10	4	3	1	2
NR4A1	20	10	4	3	1	2
KRT80	22	26	8	8	3	2
KRT7	24	26	8	8	3	4
KRT86	18	19	5	4	2	4
KRT83	21	10	2	1	1	3
KRT75	13	3	0	4	0	0
KRT6B	14	3	0	3	0	1
KRT6C	12	3	0	3	0	1
KRT6A	11	3	0	3	0	1
KRT5	7	2	0	3	0	1
KRT2	5	0	0	1	0	1
KRT1	4	0	0	1	0	1
KRT77	3	0	0	1	1	2
KRT4	9	8	0	2	2	3
KRT79	9	10	0	2	3	4
KRT78	9	11	1	2	3	3
KRT18	15	14	4	7	5	5
KRT8	15	14	5	7	5	6
EIF4B	14	10	7	8	6	5
SPRYD3	14	3	4	7	3	2
IGFBP6	15	4	5	7	3	1
ZNF740	14	5	5	6	3	0
CSAD	14	5	5	5	3	0
ITGB7	14	5	6	5	2	0
RARG	17	6	7	6	3	0
MFSD5	18	6	8	6	3	0
ESPL1	17	6	8	6	3	0
PFDN5	15	6	10	6	3	1
AAAS	14	5	8	6	2	1
SP7	12	6	10	6	2	1
SP1	13	5	10	4	2	1
AMHR2	14	3	7	3	2	1
PRR13	12	3	7	2	2	1
PCBP2	13	3	6	2	2	1
MAP3K12	10	2	3	3	2	0
TARBP2	10	2	3	3	2	0
NPFF	10	2	3	3	2	0
ATF7	4	2	1	3	1	2
ATP5G2	8	4	1	4	2	2
CALCOCO1	11	4	1	5	2	1
HOXC13	15	13	3	7	1	1
HOXC12	15	11	3	6	1	1
HOXC11	14	9	3	5	1	1
HOXC10	14	9	3	5	1	1
HOXC9	14	9	3	4	1	1
HOXC8	14	9	3	4	1	2
HOXC4	14	9	3	4	1	2
HOXC5	14	9	3	4	1	2
HOXC6	14	9	3	4	1	2
SMUG1	15	2	2	2	1	3
CBX5	23	9	2	6	4	3
HNRNPA1	23	9	2	6	4	3
NFE2	23	9	1	7	4	3
COPZ1	18	9	2	7	4	3
GPR84	19	9	3	7	4	4
ZNF385A	19	8	2	6	3	2
ITGA5	16	5	2	6	3	2
GTSF1	11	1	2	5	0	3
NCKAP1L	11	1	2	3	0	2
PDE1B	6	0	0	1	0	1
PPP1R1A	8	0	0	2	0	1
MUCL1	4	0	0	0	0	0
TESPA1	5	0	0	0	0	1
METTL7B	9	2	1	4	0	0
ITGA7	10	2	1	5	0	0
BLOC1S1	10	2	1	5	0	0
RDH5	9	4	2	4	1	0
CD63	13	4	3	5	1	0
GDF11	13	4	3	5	1	0
SARNP	9	3	2	4	1	0
ORMDL2	9	3	2	4	1	0
DNAJC14	8	2	4	4	1	0
MMP19	9	2	4	2	1	0
DGKA	7	1	5	4	0	0
PMEL	9	2	6	4	1	1
CDK2	9	2	6	4	1	1
RAB5B	9	2	6	4	1	1
SUOX	12	3	7	4	1	1
IKZF4	14	4	9	4	3	1
RPS26	11	5	8	4	3	1
ERBB3	12	5	7	5	3	1
PA2G4	13	5	9	5	3	1
RPL41	15	5	8	4	3	1
ZC3H10	15	5	8	4	3	1
ESYT1	17	5	10	4	3	2
MYL6B	15	4	9	4	2	1
MYL6	16	4	9	4	2	1
SMARCC2	16	3	9	5	3	1
RNF41	16	2	9	5	1	2
NABP2	16	2	9	5	1	2
SLC39A5	15	1	8	5	1	2
ANKRD52	15	0	8	3	2	2
COQ10A	15	1	9	3	2	2
CS	14	1	7	2	2	2
CNPY2	12	1	7	2	2	2
PAN2	9	1	5	2	2	2
IL23A	9	1	5	2	2	2
STAT2	7	1	5	2	2	3
TIMELESS	4	2	1	1	0	2
MIP	4	2	1	1	0	2
SPRYD4	4	1	0	0	0	2
GLS2	4	1	0	0	0	2
RBMS2	8	1	0	0	0	1
BAZ2A	9	4	3	3	3	2
ATP5B	9	4	3	3	3	2
PTGES3	11	4	3	4	3	2
NACA	7	4	3	4	4	2
PRIM1	4	2	1	1	2	1
HSD17B6	4	2	1	1	2	1
SDR9C7	7	0	0	0	1	0
ZBTB39	11	1	1	0	2	1
TAC3	13	2	1	2	2	1
NAB2	18	2	1	3	1	1
STAT6	14	2	1	3	1	1
LRP1	16	2	1	3	1	1
NXPH4	16	0	0	1	0	1
SHMT2	14	0	0	1	0	1
NDUFA4L2	14	0	0	1	0	1
R3HDM2	10	0	0	0	0	1
INHBC	6	5	3	1	1	0
INHBE	7	5	4	1	1	0
GLI1	7	5	4	1	1	1
MARS	8	5	4	1	1	1
ARHGAP9	8	5	4	1	1	1
DDIT3	7	5	5	1	1	1
MBD6	8	5	5	1	1	1
DCTN2	9	4	4	1	1	1
KIF5A	9	4	4	1	1	1
PIP4K2C	4	2	3	0	0	1
DTX3	5	2	3	0	0	2
ARHGEF25	5	2	3	0	0	2
B4GALNT1	6	0	2	0	0	4
OS9	10	0	2	0	0	4
AGAP2	11	0	2	0	0	4
TSPAN31	11	0	2	0	0	4
CDK4	11	0	2	0	0	4
MARCH9	11	0	2	0	0	4
CYP27B1	11	0	2	0	0	4
METTL1	11	0	2	0	0	4
METTL21B	11	0	2	0	0	4
TSFM	11	0	2	0	0	4
CTDSP2	8	1	3	0	1	1
LRIG3	1	1	0	1	1	1
SLC16A7	0	1	1	0	0	0
FAM19A2	4	0	1	1	0	0
USP15	3	0	1	1	0	0
MON2	2	0	1	0	0	0
PPM1H	2	0	0	1	0	0
DPY19L2	1	0	0	0	0	0
TMEM5	5	1	1	0	1	1
SRGAP1	5	4	1	1	1	1
C12orf66	2	1	0	3	0	0
C12orf56	1	1	1	2	2	0
XPOT	1	1	1	2	2	0
TBK1	2	1	1	2	2	0
RASSF3	8	2	2	0	0	1
GNS	6	2	1	2	0	2
TBC1D30	5	0	0	1	0	1
LEMD3	2	0	1	0	1	0
MSRB3	2	0	0	0	0	0
HMGA2	1	0	0	0	0	0
LLPH	5	0	4	0	0	1
TMBIM4	6	0	4	0	0	1
IRAK3	6	0	4	0	0	1
HELB	3	0	0	0	0	0
CAND1	3	2	0	2	0	1
DYRK2	2	1	0	2	1	0
IFNG	4	0	0	0	0	1
IL26	3	1	0	0	0	1
MDM1	4	3	1	1	0	2
RAP1B	0	3	1	2	1	0
NUP107	0	1	2	1	1	0
SLC35E3	2	1	3	2	1	1
MDM2	4	0	2	1	0	1
CPM	4	5	0	1	0	0
CPSF6	6	0	1	0	0	0
LYZ	6	1	0	0	0	0
YEATS4	5	1	0	0	0	0
FRS2	4	1	1	0	0	0
CCT2	9	0	1	0	0	0
RAB3IP	6	1	2	1	0	0
CNOT2	0	0	0	0	0	0
KCNMB4	0	1	0	2	0	0
PTPRB	7	5	1	1	0	0
PTPRR	2	0	0	1	1	1
TSPAN8	1	2	0	1	0	0
LGR5	3	0	0	1	0	0
THAP2	7	1	2	2	1	0
ZFC3H1	7	1	2	2	1	0
TMEM19	7	1	2	2	0	0
RAB21	6	2	3	2	0	0
TBC1D15	4	1	1	2	0	1
TPH2	3	1	1	0	0	2
TRHDE	3	0	0	0	0	0
GLIPR1L1	2	1	2	2	0	0
CAPS2	3	1	2	2	0	0
GLIPR1L2	3	1	2	2	0	0
GLIPR1	4	0	2	5	0	0
KRR1	4	0	1	3	0	0
NAP1L1	4	3	1	0	0	2
BBS10	3	1	1	2	0	0
OSBPL8	3	1	0	0	1	0
ZDHHC17	2	2	0	2	0	0
CSRP2	5	0	0	2	0	0
E2F7	3	2	0	0	0	2
SYT1	0	1	0	0	0	0
PAWR	2	1	1	2	1	0
PPP1R12A	1	1	0	1	0	0
PTPRQ	3	0	0	0	0	0
MYF6	5	0	1	1	1	0
LIN7A	0	0	0	0	0	0
PPFIA2	1	0	0	0	0	0
METTL25	3	1	0	2	0	0
CCDC59	3	1	0	2	0	0
TMTC2	4	1	0	0	0	0
SLC6A15	1	3	0	4	0	0
TSPAN19	1	4	0	1	0	0
LRRIQ1	1	4	0	1	0	0
ALX1	0	0	1	1	1	0
RASSF9	2	4	0	2	0	0
NTS	2	3	0	1	0	0
C12orf29	3	0	1	3	1	0
CEP290	1	0	0	3	1	0
TMTC3	1	0	0	3	1	0
KITLG	3	0	0	0	0	0
DUSP6	0	3	2	0	0	1
GALNT4	5	0	0	0	0	1
POC1B	5	0	0	0	0	1
POC1B-GALNT4	5	0	0	0	0	1
ATP2B1	0	4	0	0	0	0
CCER1	4	0	0	0	0	0
LUM	2	0	0	0	0	0
DCN	2	0	0	0	0	0
BTG1	2	7	1	1	3	1
C12orf74	5	0	0	3	0	0
EEA1	4	1	1	1	0	0
NUDT4	3	0	2	1	0	1
UBE2N	6	0	1	1	0	1
MRPL42	7	0	1	1	0	1
SOCS2	5	2	1	1	0	0
CRADD	3	4	1	2	0	0
PLXNC1	6	1	0	0	0	1
TMCC3	3	3	0	1	0	0
NDUFA12	1	1	3	2	0	1
NR2C1	2	1	3	2	0	0
FGD6	2	3	0	4	1	0
VEZT	2	3	0	4	1	0
METAP2	1	0	1	2	1	0
USP44	4	3	1	2	2	0
NTN4	6	5	0	4	0	1
SNRPF	6	5	1	4	0	1
AMDHD1	8	3	2	4	0	0
HAL	11	3	2	2	0	0
LTA4H	12	3	1	2	0	0
ELK3	3	1	1	0	1	1
CDK17	2	9	1	3	3	1
NEDD1	6	0	1	1	0	1
TMPO	9	6	2	2	1	0
SLC25A3	5	3	3	1	1	0
IKBIP	6	0	1	1	1	0
APAF1	6	0	1	1	1	0
ANKS1B	3	0	0	0	0	0
UHRF1BP1L	9	0	1	1	0	0
SCYL2	2	0	2	1	0	0
NR1H4	3	0	0	0	0	2
GAS2L3	4	0	0	0	0	1
ANO4	4	0	0	0	0	1
SLC5A8	1	0	0	1	0	0
